,country,year,Effective Parliament (highest score=1),Election free and fair (highest score=1),Election government intimidation (highest score=1),Voter turnout (highest score=1),Fair trial (highest score=1),Judicial Independence (highest score=1),Predictable Enforcement (highest score=1),Freedom of Religion (highest score=1),Free Political Parties (highest score=1),Harassment of journalists (highest score=1),Media bias (highest score=1),Media freedom (highest score=1),Freedom of the Press (highest score=1),Gender Equality (highest score=1),Educational equality (highest score=1),Health equality (highest score=1),Infant mortality rate (highest score=1),Life expectancy (highest score=1),Mean years of schooling (highest score=1),Human Development Index
301,Estonia,1995,0.78,0.87,0.89,0.48,0.67,0.8,0.66,0.98,0.56,0.86,0.82,1.0,0.84,0.74,0.85,0.84,0.94,0.76,0.45,0.733
302,Estonia,1996,0.78,0.87,0.89,0.48,0.67,0.79,0.67,0.98,0.56,0.86,0.82,1.0,0.84,0.74,0.85,0.84,0.95,0.79,0.45,0.749
303,Estonia,1997,0.78,0.87,0.89,0.48,0.67,0.79,0.69,0.98,0.56,0.86,0.82,1.0,0.84,0.74,0.85,0.84,0.95,0.8,0.45,0.764
304,Estonia,1998,0.78,0.87,0.89,0.48,0.67,0.79,0.69,0.98,0.56,0.86,0.82,1.0,0.84,0.74,0.85,0.84,0.95,0.79,0.45,0.772
305,Estonia,1999,0.78,0.87,0.89,0.45,0.67,0.79,0.74,0.98,0.56,0.86,0.8,1.0,0.83,0.74,0.85,0.84,0.96,0.8,0.45,0.781
306,Estonia,2000,0.78,0.87,0.89,0.45,0.67,0.81,0.74,0.98,0.61,0.86,0.8,1.0,0.83,0.77,0.85,0.84,0.96,0.8,0.45,0.798
307,Estonia,2001,0.78,0.87,0.89,0.45,0.67,0.81,0.75,0.98,0.61,0.86,0.8,1.0,0.83,0.77,0.85,0.84,0.97,0.8,0.45,0.807
308,Estonia,2002,0.78,0.87,0.89,0.45,0.67,0.81,0.78,0.98,0.61,0.86,0.83,1.0,0.84,0.77,0.85,0.84,0.97,0.81,0.45,0.8180000000000001
309,Estonia,2003,0.78,0.87,0.89,0.47,0.67,0.81,0.79,0.98,0.61,0.86,0.83,1.0,0.84,0.77,0.85,0.84,0.97,0.82,0.46,0.8260000000000001
310,Estonia,2004,0.78,0.87,0.89,0.47,1.0,0.81,0.79,0.98,0.61,0.86,0.87,1.0,0.85,0.77,0.85,0.84,0.98,0.83,0.46,0.836
311,Estonia,2005,0.78,0.87,0.89,0.47,1.0,0.81,0.79,0.98,0.61,0.86,0.87,1.0,0.85,0.77,0.85,0.84,0.98,0.83,0.46,0.848
312,Estonia,2006,0.78,0.87,0.89,0.47,1.0,0.84,0.83,0.98,0.7,0.86,0.87,1.0,0.85,0.73,0.85,0.84,0.98,0.84,0.46,0.856
313,Estonia,2007,0.78,0.81,0.92,0.53,1.0,0.84,0.86,0.98,0.7,0.86,0.85,1.0,0.84,0.76,0.85,0.84,0.98,0.84,0.46,0.859
314,Estonia,2008,0.78,0.81,0.92,0.53,1.0,0.84,0.86,0.98,0.74,0.86,0.85,1.0,0.84,0.76,0.85,0.84,0.99,0.85,0.46,0.861
315,Estonia,2009,0.78,0.81,0.92,0.53,1.0,0.84,0.89,0.98,0.74,0.86,0.8,1.0,0.83,0.76,0.85,0.84,0.99,0.87,0.47,0.859
316,Estonia,2010,0.83,0.81,0.92,0.53,1.0,0.84,0.89,0.98,0.74,0.86,0.8,1.0,0.86,0.77,0.85,0.84,0.99,0.87,0.47,0.864
317,Estonia,2011,0.83,0.91,0.92,0.55,1.0,0.84,0.89,0.98,0.74,0.86,0.8,1.0,0.86,0.78,0.85,0.84,0.99,0.88,0.47,0.873
318,Estonia,2012,0.83,0.91,0.92,0.55,1.0,0.84,0.9,1.0,0.74,0.86,0.8,1.0,0.87,0.78,0.85,0.84,0.99,0.89,0.47,0.876
319,Estonia,2013,0.83,0.91,0.92,0.55,1.0,0.84,0.95,1.0,0.74,0.86,0.71,1.0,0.86,0.77,0.91,0.84,0.99,0.9,0.48,0.881
320,Estonia,2014,0.83,0.91,0.92,0.55,1.0,0.84,0.95,1.0,0.74,0.86,0.71,1.0,0.86,0.75,0.91,0.84,0.99,0.9,0.48,0.879
321,Estonia,2015,0.83,0.91,0.92,0.56,1.0,0.84,0.95,1.0,0.74,0.86,0.71,1.0,0.86,0.83,0.91,0.84,1.0,0.9,0.48,0.883
322,Estonia,2016,0.83,0.91,0.92,0.56,1.0,0.84,0.95,1.0,0.74,0.94,0.89,1.0,0.89,0.84,0.91,0.84,1.0,0.9,0.49,0.884
323,Estonia,2017,0.85,0.91,0.92,0.56,1.0,0.85,0.95,1.0,0.74,0.85,0.89,1.0,0.89,0.8,0.91,0.84,1.0,0.91,0.49,0.886
324,Estonia,2018,0.87,0.91,0.92,0.56,1.0,0.85,0.95,1.0,0.74,0.85,0.89,1.0,0.9,0.82,0.91,0.84,1.0,0.91,0.49,0.89
325,Estonia,2019,0.85,0.88,0.9,0.56,1.0,0.85,0.88,1.0,0.74,0.85,0.89,1.0,0.88,0.82,0.91,0.84,1.0,0.92,0.5,0.893
326,Estonia,2020,0.79,0.88,0.9,0.56,1.0,0.85,0.87,1.0,0.74,0.85,0.89,1.0,0.89,0.87,0.91,0.84,1.0,0.91,0.5,0.891
327,Estonia,2021,0.85,0.88,0.9,0.56,1.0,0.85,0.89,1.0,0.74,0.85,0.89,1.0,0.89,0.84,0.91,0.84,1.0,0.91,0.5,0.89
328,Estonia,2022,0.87,0.88,0.9,0.56,1.0,0.87,0.86,1.0,0.74,0.85,0.89,1.0,0.89,0.84,0.91,0.84,1.0,0.91,0.51,0.899
329,Finland,1990,0.88,0.86,0.88,0.83,1.0,0.82,0.96,0.98,0.74,0.8,0.86,0.5,0.85,0.71,0.98,0.83,0.98,0.87,0.45,0.811
330,Finland,1991,0.88,0.86,0.88,0.72,1.0,0.82,0.96,0.98,0.74,0.89,0.86,0.5,0.91,0.73,0.98,0.83,0.98,0.87,0.45,0.8150000000000001
331,Finland,1992,0.88,0.86,0.88,0.72,1.0,0.82,0.96,0.98,0.74,0.89,0.86,0.5,0.91,0.73,0.98,0.83,0.98,0.87,0.46,0.8210000000000001
332,Finland,1993,0.88,0.86,0.88,0.72,1.0,0.82,0.96,0.98,0.74,0.89,0.86,0.5,0.91,0.71,0.98,0.83,0.98,0.88,0.46,0.8260000000000001
333,Finland,1994,0.88,0.86,0.88,0.82,1.0,0.82,0.96,0.98,0.74,0.89,0.86,0.5,0.91,0.73,0.98,0.83,0.98,0.89,0.46,0.838
334,Finland,1995,0.88,0.86,0.88,0.71,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.75,0.98,0.83,0.99,0.89,0.46,0.844
335,Finland,1996,0.88,0.86,0.88,0.71,1.0,0.82,0.92,0.98,0.74,0.89,0.86,1.0,0.93,0.78,0.98,0.83,0.99,0.89,0.47,0.852
336,Finland,1997,0.88,0.86,0.88,0.71,1.0,0.82,0.92,0.85,0.74,0.89,0.86,1.0,0.93,0.78,0.98,0.83,0.99,0.89,0.47,0.86
337,Finland,1998,0.88,0.86,0.88,0.71,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.79,0.98,0.83,0.99,0.9,0.47,0.868
338,Finland,1999,0.88,0.86,0.88,0.65,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.79,0.98,0.83,0.99,0.9,0.47,0.877
339,Finland,2000,0.88,0.86,0.88,0.77,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.81,0.98,0.83,0.99,0.9,0.47,0.887
340,Finland,2001,0.88,0.86,0.88,0.77,1.0,0.82,0.96,0.85,0.74,0.89,0.86,1.0,0.93,0.79,0.98,0.83,0.99,0.91,0.47,0.897
341,Finland,2002,0.88,0.86,0.88,0.77,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.79,0.98,0.83,0.99,0.91,0.48,0.901
342,Finland,2003,0.88,0.86,0.88,0.7,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.78,0.98,0.83,0.99,0.91,0.48,0.905
343,Finland,2004,0.88,0.86,0.88,0.7,1.0,0.82,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.78,0.98,0.83,0.99,0.92,0.48,0.901
344,Finland,2005,0.88,0.86,0.88,0.7,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.78,0.98,0.83,0.99,0.92,0.48,0.904
345,Finland,2006,0.88,0.89,0.91,0.78,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.8,0.98,0.83,0.99,0.93,0.48,0.909
346,Finland,2007,0.88,0.9,0.91,0.68,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.8,0.98,0.83,0.99,0.93,0.48,0.911
347,Finland,2008,0.88,0.9,0.91,0.68,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.81,0.98,0.83,0.99,0.93,0.48,0.913
348,Finland,2009,0.88,0.9,0.91,0.68,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.83,0.98,0.83,0.99,0.93,0.48,0.908
349,Finland,2010,0.88,0.9,0.91,0.68,1.0,0.81,0.96,0.98,0.74,0.89,0.86,1.0,0.93,0.84,0.98,0.83,1.0,0.93,0.49,0.912
350,Finland,2011,0.85,0.9,0.91,0.73,1.0,0.81,0.96,0.85,0.74,0.89,0.86,1.0,0.93,0.82,0.98,0.83,1.0,0.94,0.49,0.916
351,Finland,2012,0.85,0.9,0.91,0.71,1.0,0.81,0.96,1.0,0.74,0.89,0.86,1.0,0.94,0.84,0.98,0.83,1.0,0.95,0.49,0.916
352,Finland,2013,0.88,0.9,0.91,0.71,1.0,0.86,0.91,1.0,0.74,0.89,0.86,1.0,0.94,0.84,0.98,0.83,1.0,0.95,0.49,0.926
353,Finland,2014,0.88,0.9,0.91,0.71,1.0,0.86,0.91,0.89,0.74,0.89,0.86,1.0,0.94,0.84,0.98,0.83,1.0,0.95,0.49,0.928
354,Finland,2015,0.82,0.88,0.9,0.73,1.0,0.87,0.86,0.89,0.74,0.8,0.78,1.0,0.82,0.84,0.98,0.81,1.0,0.96,0.49,0.93
355,Finland,2016,0.82,0.88,0.9,0.73,1.0,0.9,0.86,0.89,0.74,0.8,0.78,1.0,0.82,0.84,0.98,0.81,1.0,0.96,0.49,0.931
356,Finland,2017,0.88,0.88,0.9,0.73,1.0,0.9,0.83,1.0,0.74,0.88,0.78,1.0,0.86,0.81,0.98,0.76,1.0,0.96,0.49,0.934
357,Finland,2018,0.88,0.88,0.91,0.67,1.0,0.9,0.91,0.89,0.74,0.88,0.78,1.0,0.88,0.78,0.8,0.76,1.0,0.96,0.5,0.936
358,Finland,2019,0.85,0.88,0.9,0.69,1.0,0.9,0.83,0.87,0.74,0.88,0.84,1.0,0.9,0.9,0.73,0.76,1.0,0.96,0.5,0.939
359,Finland,2020,0.87,0.88,0.9,0.69,1.0,0.9,0.86,0.89,0.74,0.88,0.84,1.0,0.9,0.9,0.73,0.76,1.0,0.97,0.5,0.939
360,Finland,2021,0.88,0.88,0.9,0.69,1.0,0.9,0.86,1.0,0.74,0.88,0.77,1.0,0.88,0.93,0.73,0.76,1.0,0.97,0.5,0.941
361,Finland,2022,0.84,0.88,0.9,0.69,1.0,0.87,0.86,1.0,0.74,0.88,0.81,1.0,0.84,0.93,0.73,0.61,1.0,0.97,0.5,0.942
362,France,1990,0.7,0.85,0.89,0.76,0.67,0.76,0.79,0.98,0.74,0.86,0.87,1.0,0.84,0.68,0.83,0.79,0.97,0.89,0.4,0.79
363,France,1991,0.7,0.85,0.89,0.76,1.0,0.76,0.79,0.98,0.74,0.86,0.87,1.0,0.84,0.68,0.83,0.79,0.97,0.89,0.4,0.799
364,France,1992,0.7,0.85,0.89,0.76,1.0,0.76,0.8,0.98,0.74,0.86,0.87,1.0,0.84,0.69,0.83,0.79,0.97,0.9,0.41,0.806
365,France,1993,0.7,0.85,0.89,0.61,1.0,0.71,0.8,0.85,0.74,0.86,0.87,1.0,0.84,0.68,0.83,0.79,0.98,0.9,0.41,0.809
366,France,1994,0.7,0.85,0.89,0.61,1.0,0.75,0.8,0.85,0.74,0.86,0.87,1.0,0.84,0.68,0.83,0.79,0.98,0.9,0.42,0.8240000000000001
367,France,1995,0.7,0.85,0.89,0.72,1.0,0.75,0.8,0.85,0.74,0.86,0.73,1.0,0.82,0.69,0.83,0.79,0.98,0.91,0.42,0.8290000000000001
368,France,1996,0.7,0.85,0.89,0.72,1.0,0.75,0.79,0.85,0.74,0.86,0.85,1.0,0.83,0.68,0.83,0.79,0.98,0.91,0.43,0.834
369,France,1997,0.7,0.85,0.89,0.59,1.0,0.75,0.78,0.85,0.74,0.86,0.85,1.0,0.83,0.68,0.83,0.79,0.98,0.91,0.43,0.839
370,France,1998,0.7,0.85,0.89,0.59,1.0,0.75,0.79,0.75,0.74,0.86,0.85,1.0,0.83,0.71,0.83,0.79,0.99,0.92,0.43,0.843
371,France,1999,0.7,0.85,0.89,0.59,1.0,0.75,0.79,0.75,0.74,0.86,0.85,1.0,0.83,0.7,0.83,0.79,0.99,0.92,0.44,0.847
372,France,2000,0.7,0.85,0.89,0.59,1.0,0.75,0.79,0.75,0.74,0.86,0.85,1.0,0.83,0.74,0.83,0.96,0.99,0.92,0.44,0.844
373,France,2001,0.7,0.85,0.89,0.59,1.0,0.75,0.78,0.75,0.74,0.86,0.85,1.0,0.83,0.74,0.83,0.96,0.99,0.92,0.44,0.847
374,France,2002,0.7,0.85,0.89,0.7,0.67,0.75,0.77,0.75,0.74,0.86,0.85,1.0,0.83,0.79,0.83,0.96,0.99,0.93,0.45,0.85
375,France,2003,0.7,0.85,0.89,0.7,0.67,0.75,0.77,0.75,0.74,0.86,0.85,1.0,0.83,0.77,0.83,0.96,0.99,0.92,0.45,0.853
376,France,2004,0.7,0.85,0.89,0.7,0.67,0.75,0.77,0.75,0.74,0.86,0.85,1.0,0.83,0.79,0.83,0.96,0.99,0.94,0.45,0.861
377,France,2005,0.7,0.85,0.89,0.7,0.67,0.75,0.77,0.75,0.74,0.86,0.85,1.0,0.83,0.77,0.83,0.96,0.99,0.94,0.46,0.869
378,France,2006,0.7,0.85,0.89,0.7,0.67,0.75,0.77,0.75,0.74,0.86,0.85,1.0,0.83,0.75,0.83,0.96,0.99,0.95,0.46,0.873
379,France,2007,0.72,0.9,0.95,0.77,0.67,0.75,0.77,0.85,0.74,0.86,0.78,1.0,0.82,0.79,0.83,0.96,0.99,0.95,0.46,0.876
380,France,2008,0.72,0.9,0.95,0.77,1.0,0.75,0.77,0.85,0.74,0.86,0.9,1.0,0.88,0.79,0.83,0.96,0.99,0.95,0.46,0.877
381,France,2009,0.72,0.9,0.95,0.77,1.0,0.75,0.77,0.75,0.74,0.86,0.9,1.0,0.88,0.79,0.83,0.96,0.99,0.96,0.47,0.875
382,France,2010,0.72,0.9,0.95,0.77,1.0,0.75,0.77,0.75,0.74,0.86,0.9,1.0,0.88,0.78,0.83,0.96,0.99,0.96,0.47,0.88
383,France,2011,0.72,0.9,0.95,0.77,1.0,0.75,0.77,0.71,0.74,0.86,0.97,1.0,0.9,0.79,0.83,0.96,0.99,0.97,0.47,0.884
384,France,2012,0.72,0.9,0.95,0.71,1.0,0.76,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.81,0.83,0.96,0.99,0.96,0.47,0.885
385,France,2013,0.72,0.9,0.95,0.71,1.0,0.77,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.81,0.83,0.96,0.99,0.97,0.47,0.888
386,France,2014,0.72,0.9,0.95,0.71,1.0,0.77,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.81,0.83,0.96,0.99,0.97,0.47,0.892
387,France,2015,0.72,0.9,0.95,0.71,1.0,0.77,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.83,0.83,0.96,0.99,0.97,0.48,0.893
388,France,2016,0.72,0.9,0.95,0.71,1.0,0.76,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.84,0.83,0.84,0.99,0.97,0.48,0.896
389,France,2017,0.72,0.89,0.92,0.68,1.0,0.78,0.78,0.74,0.74,0.86,0.97,1.0,0.9,0.87,0.83,0.84,0.99,0.97,0.48,0.899
390,France,2018,0.71,0.89,0.92,0.68,1.0,0.78,0.76,0.74,0.74,0.86,0.97,1.0,0.9,0.85,0.76,0.84,0.99,0.97,0.48,0.903
391,France,2019,0.72,0.89,0.92,0.68,1.0,0.78,0.76,0.74,0.74,0.79,0.97,1.0,0.88,0.87,0.73,0.84,0.99,0.98,0.48,0.905
392,France,2020,0.72,0.89,0.92,0.68,1.0,0.78,0.76,0.69,0.74,0.79,0.97,1.0,0.88,0.85,0.73,0.78,0.99,0.97,0.49,0.9
393,France,2021,0.72,0.89,0.92,0.68,1.0,0.78,0.76,0.69,0.74,0.83,0.97,1.0,0.88,0.88,0.73,0.78,0.99,0.97,0.49,0.906
394,France,2022,0.77,0.87,0.92,0.67,1.0,0.78,0.77,0.69,0.74,0.83,0.78,1.0,0.84,0.87,0.72,0.69,0.99,0.97,0.49,0.91
395,Germany,1990,1.0,0.94,0.96,0.73,1.0,0.8,0.95,0.98,0.74,1.0,0.94,1.0,0.91,0.72,0.79,0.88,0.97,0.87,0.49,0.8280000000000001
396,Germany,1991,1.0,0.94,0.96,0.73,1.0,0.8,0.95,0.98,0.74,1.0,0.94,1.0,0.91,0.72,0.79,0.88,0.97,0.87,0.49,0.835
397,Germany,1992,1.0,0.94,0.96,0.73,1.0,0.8,0.94,0.98,0.74,1.0,0.94,1.0,0.91,0.73,0.79,0.88,0.98,0.88,0.49,0.842
398,Germany,1993,1.0,0.94,0.96,0.73,1.0,0.8,0.93,0.85,0.74,1.0,0.94,1.0,0.91,0.72,0.79,0.88,0.98,0.88,0.49,0.852
399,Germany,1994,1.0,0.95,0.95,0.72,1.0,0.8,0.95,0.85,0.74,1.0,0.94,1.0,0.91,0.74,0.79,0.88,0.98,0.89,0.49,0.858
400,Germany,1995,1.0,0.95,0.95,0.72,1.0,0.8,0.96,0.75,0.74,1.0,0.94,1.0,0.94,0.74,0.79,0.88,0.98,0.89,0.49,0.863
401,Germany,1996,1.0,0.95,0.95,0.72,1.0,0.82,0.96,0.75,0.74,1.0,0.94,1.0,0.94,0.73,0.79,0.88,0.98,0.89,0.49,0.868
402,Germany,1997,1.0,0.95,0.95,0.72,1.0,0.82,0.96,0.75,0.74,1.0,0.94,1.0,0.94,0.73,0.79,0.88,0.98,0.9,0.49,0.874
403,Germany,1998,1.0,0.95,0.96,0.75,1.0,0.82,0.96,0.75,0.74,1.0,0.94,1.0,0.94,0.78,0.79,0.88,0.98,0.9,0.49,0.879
404,Germany,1999,1.0,0.95,0.96,0.75,1.0,0.82,0.96,0.75,0.74,1.0,0.94,1.0,0.94,0.8,0.79,0.88,0.98,0.91,0.49,0.884
405,Germany,2000,1.0,0.95,0.96,0.75,1.0,0.82,0.95,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.91,0.49,0.89
406,Germany,2001,1.0,0.95,0.96,0.75,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.91,0.49,0.897
407,Germany,2002,1.0,0.95,0.95,0.73,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.91,0.49,0.902
408,Germany,2003,1.0,0.95,0.95,0.73,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.91,0.49,0.906
409,Germany,2004,1.0,0.95,0.95,0.73,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.83,0.79,0.88,0.99,0.92,0.5,0.915
410,Germany,2005,1.0,0.95,0.97,0.72,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.92,0.5,0.916
411,Germany,2006,1.0,0.95,0.97,0.72,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.84,0.79,0.88,0.99,0.92,0.5,0.92
412,Germany,2007,1.0,0.95,0.97,0.72,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.86,0.79,0.88,0.99,0.93,0.5,0.923
413,Germany,2008,1.0,0.95,0.97,0.72,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.85,0.79,0.88,0.99,0.93,0.5,0.926
414,Germany,2009,1.0,0.95,0.97,0.64,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.88,0.79,0.88,0.99,0.93,0.5,0.925
415,Germany,2010,1.0,0.95,0.97,0.64,1.0,0.82,0.94,0.75,0.74,1.0,0.94,1.0,0.94,0.88,0.79,0.88,0.99,0.94,0.51,0.929
416,Germany,2011,1.0,0.95,0.97,0.64,1.0,0.82,0.94,0.8,0.74,1.0,0.94,1.0,0.94,0.88,0.79,0.88,0.99,0.94,0.51,0.935
417,Germany,2012,1.0,0.95,0.97,0.64,1.0,0.82,0.94,0.77,0.74,1.0,0.94,1.0,0.91,0.88,0.79,0.88,0.99,0.94,0.51,0.937
418,Germany,2013,0.9,0.88,0.91,0.66,1.0,0.82,0.94,0.77,0.74,1.0,0.94,1.0,0.91,0.88,0.79,0.9,0.99,0.94,0.51,0.938
419,Germany,2014,0.9,0.88,0.91,0.66,1.0,0.82,0.94,0.74,0.74,1.0,0.94,1.0,0.91,0.89,0.79,0.83,0.99,0.95,0.51,0.942
420,Germany,2015,1.0,0.88,0.91,0.66,1.0,0.82,0.94,0.74,0.74,0.87,0.94,1.0,0.91,0.89,0.79,0.9,0.99,0.95,0.52,0.941
421,Germany,2016,1.0,0.88,0.91,0.66,1.0,0.82,0.94,0.74,0.74,0.87,0.94,1.0,0.91,0.89,0.79,0.9,0.99,0.95,0.52,0.941
422,Germany,2017,1.0,0.88,0.91,0.69,1.0,0.75,0.94,0.74,0.74,0.82,0.94,1.0,0.89,0.86,0.79,0.9,0.99,0.95,0.52,0.944
423,Germany,2018,1.0,0.88,0.91,0.69,1.0,0.75,0.94,0.74,0.74,0.77,0.75,1.0,0.81,0.86,0.79,0.9,0.99,0.95,0.52,0.946
424,Germany,2019,1.0,0.88,0.91,0.69,1.0,0.75,0.94,0.74,0.74,0.77,0.75,1.0,0.81,0.87,0.84,0.9,0.99,0.95,0.52,0.951
425,Germany,2020,1.0,0.88,0.91,0.69,1.0,0.75,0.94,0.71,0.74,0.77,0.75,1.0,0.8,0.86,0.84,0.72,0.99,0.95,0.53,0.948
426,Germany,2021,1.0,0.84,0.88,0.69,1.0,0.75,0.94,0.74,0.74,0.77,0.75,1.0,0.8,0.9,0.84,0.88,0.99,0.95,0.53,0.948
427,Germany,2022,1.0,0.84,0.88,0.69,1.0,0.75,0.94,0.74,0.74,0.77,0.75,1.0,0.78,0.9,0.84,0.88,0.99,0.95,0.53,0.95
428,Greece,1990,0.72,0.89,0.88,0.88,0.67,0.66,0.62,0.71,0.74,0.78,0.86,0.0,0.75,0.65,0.85,0.89,0.96,0.89,0.37,0.762
429,Greece,1991,0.72,0.89,0.88,0.88,0.67,0.66,0.63,0.71,0.74,0.78,0.86,0.0,0.75,0.65,0.83,0.89,0.96,0.9,0.37,0.773
430,Greece,1992,0.72,0.89,0.88,0.88,0.67,0.66,0.64,0.75,0.74,0.78,0.86,0.0,0.75,0.65,0.83,0.89,0.96,0.9,0.38,0.774
431,Greece,1993,0.72,0.89,0.88,0.86,0.67,0.66,0.64,0.75,0.74,0.78,0.86,0.0,0.75,0.66,0.83,0.89,0.97,0.9,0.38,0.776
432,Greece,1994,0.72,0.89,0.88,0.86,0.67,0.66,0.64,0.71,0.74,0.78,0.86,0.0,0.75,0.66,0.83,0.89,0.97,0.9,0.39,0.782
433,Greece,1995,0.72,0.89,0.88,0.86,0.67,0.66,0.65,0.71,0.74,0.78,0.86,0.0,0.75,0.68,0.83,0.89,0.97,0.9,0.39,0.784
434,Greece,1996,0.73,0.89,0.88,0.84,0.67,0.66,0.65,0.75,0.74,0.78,0.86,0.5,0.75,0.68,0.83,0.89,0.97,0.9,0.4,0.789
435,Greece,1997,0.73,0.89,0.88,0.84,0.67,0.66,0.64,0.75,0.74,0.78,0.86,0.5,0.75,0.69,0.83,0.89,0.97,0.91,0.4,0.796
436,Greece,1998,0.73,0.89,0.88,0.84,0.67,0.66,0.63,0.75,0.74,0.78,0.86,0.5,0.75,0.69,0.83,0.89,0.97,0.91,0.4,0.806
437,Greece,1999,0.73,0.89,0.88,0.84,0.67,0.66,0.63,0.75,0.74,0.78,0.86,0.5,0.75,0.69,0.83,0.89,0.98,0.91,0.41,0.809
438,Greece,2000,0.73,0.89,0.88,0.89,0.67,0.66,0.63,0.71,0.74,0.78,0.86,0.5,0.75,0.72,0.83,0.89,0.98,0.91,0.41,0.8180000000000001
439,Greece,2001,0.73,0.89,0.88,0.89,0.67,0.66,0.63,0.71,0.74,0.78,0.86,0.5,0.75,0.72,0.83,0.89,0.98,0.91,0.41,0.8270000000000001
440,Greece,2002,0.73,0.89,0.88,0.89,0.67,0.66,0.63,0.71,0.74,0.78,0.86,1.0,0.76,0.72,0.83,0.89,0.98,0.92,0.42,0.838
441,Greece,2003,0.73,0.89,0.88,0.89,0.67,0.66,0.63,0.71,0.74,0.78,0.86,1.0,0.76,0.72,0.83,0.89,0.98,0.92,0.42,0.844
442,Greece,2004,0.73,0.89,0.88,0.88,0.67,0.66,0.63,0.75,0.74,0.78,0.86,1.0,0.76,0.71,0.83,0.89,0.99,0.92,0.42,0.852
443,Greece,2005,0.73,0.89,0.88,0.88,0.67,0.65,0.63,0.71,0.74,0.78,0.86,1.0,0.76,0.73,0.83,0.89,0.99,0.93,0.43,0.864
444,Greece,2006,0.72,0.89,0.88,0.88,0.67,0.65,0.64,0.75,0.74,0.78,0.86,1.0,0.76,0.71,0.83,0.89,0.99,0.93,0.43,0.872
445,Greece,2007,0.69,0.95,0.94,0.8,0.67,0.65,0.64,0.71,0.74,0.79,0.86,1.0,0.79,0.73,0.83,0.89,0.99,0.93,0.43,0.866
446,Greece,2008,0.69,0.95,0.94,0.8,0.67,0.65,0.64,0.71,0.74,0.79,0.86,1.0,0.79,0.71,0.83,0.89,0.99,0.94,0.44,0.871
447,Greece,2009,0.69,0.95,0.94,0.79,0.67,0.65,0.66,0.75,0.74,0.79,0.8,1.0,0.78,0.72,0.83,0.89,0.99,0.94,0.44,0.873
448,Greece,2010,0.73,0.95,0.94,0.79,0.67,0.63,0.65,0.75,0.74,0.78,0.85,1.0,0.78,0.73,0.83,0.78,0.99,0.94,0.44,0.874
449,Greece,2011,0.74,0.95,0.94,0.79,0.67,0.63,0.65,0.71,0.74,0.78,0.8,1.0,0.78,0.73,0.83,0.78,0.99,0.95,0.45,0.871
450,Greece,2012,0.72,0.95,0.89,0.69,0.67,0.64,0.65,0.71,0.74,0.78,0.76,0.5,0.75,0.72,0.83,0.78,0.99,0.95,0.45,0.87
451,Greece,2013,0.73,0.95,0.89,0.69,0.67,0.65,0.63,0.65,0.74,0.79,0.75,0.5,0.72,0.72,0.83,0.78,0.99,0.95,0.45,0.874
452,Greece,2014,0.73,0.95,0.89,0.69,0.67,0.66,0.63,0.68,0.74,0.79,0.75,0.5,0.72,0.72,0.83,0.78,0.99,0.96,0.45,0.879
453,Greece,2015,0.73,0.94,0.88,0.7,0.67,0.63,0.6,0.68,0.74,0.74,0.71,0.5,0.69,0.72,0.83,0.74,0.99,0.95,0.46,0.881
454,Greece,2016,0.73,0.94,0.88,0.7,0.67,0.63,0.6,0.68,0.74,0.74,0.73,0.5,0.68,0.72,0.83,0.75,0.99,0.96,0.46,0.877
